time,win,loss
2022-07-20 09:35:15.055054,0,"0
"
2022-07-20 09:36:22.968533,1,"0
"
2022-07-20 09:37:30.861010,1,"0
"
2022-07-20 09:38:38.777607,1,"0
"
2022-07-20 09:40:18.199697,0,"0
"
2022-07-20 09:41:26.526524,1,"0
"
2022-07-20 09:42:44.673721,0,"0
"
2022-07-20 09:45:19.879203,0,"0
"
2022-07-20 09:46:49.224486,1,"0
"
2022-07-20 09:48:18.220652,1,"0
"
2022-07-20 09:50:25.293944,1,"0
"
2022-07-20 09:51:54.349425,1,"0
"
2022-07-20 09:53:31.459157,2,"0
"
2022-07-20 09:56:25.128339,1,"0
"
2022-07-20 10:02:14.662578,1,"0
"
2022-07-20 10:03:51.539315,1,"0
"
2022-07-20 10:04:59.384663,1,"0
"
2022-07-20 10:06:07.859477,1,"0
"
2022-07-20 10:09:20.884122,1,"0
"
2022-07-20 10:11:18.903569,0,"1
"
2022-07-20 10:13:17.048702,1,"0
"
2022-07-20 10:14:55.172737,0,"1
"
2022-07-20 10:16:32.242375,0,"1
"
2022-07-20 10:18:09.092265,0,"1
"
2022-07-20 10:20:56.812511,0,"1
"
2022-07-20 10:22:06.953762,1,"0
"
2022-07-20 10:24:17.709110,0,"1
"
2022-07-20 10:26:24.765338,1,"0
"
2022-07-20 10:29:19.847645,0,"1
"
2022-07-20 10:31:00.622406,1,"0
"
2022-07-20 10:32:10.518014,1,"0
"
2022-07-20 10:33:20.407843,1,"0
"
2022-07-20 10:34:30.729367,1,"0
"
2022-07-20 10:36:22.998188,1,"0
"
2022-07-20 10:37:54.115098,1,"0
"
2022-07-20 10:39:03.937411,1,"0
"
2022-07-20 10:41:21.211176,1,"0
"
2022-07-20 10:42:52.292762,1,"0
"
2022-07-20 10:44:54.380200,1,"0
"
2022-07-20 10:46:56.854322,1,"0
"
2022-07-20 10:48:59.697316,1,"0
"
2022-07-20 10:50:09.576094,1,"0
"
2022-07-20 10:51:51.195969,1,"0
"
2022-07-20 10:53:21.908892,1,"0
"
2022-07-20 10:55:24.252629,1,"0
"
2022-07-20 10:57:27.077176,1,"0
"
2022-07-20 10:59:30.098204,1,"0
"
2022-07-20 11:02:56.835498,1,"0
"
2022-07-20 11:04:59.723239,1,"0
"
2022-07-20 11:06:09.646006,1,"0
"
2022-07-20 11:08:01.086686,0,"1
"
2022-07-20 11:09:10.873230,1,"0
"
2022-07-20 11:10:51.880632,1,"0
"
2022-07-20 11:12:01.902012,1,"0
"
2022-07-20 23:04:54.581260,1,"0
"
2022-07-20 23:06:04.362721,1,"0
"
2022-07-20 23:07:14.520063,1,"0
"
2022-07-20 23:09:27.524724,1,"0
"
2022-07-20 23:11:08.243345,0,"1
"
2022-07-20 23:12:28.540989,1,"0
"
2022-07-20 23:14:09.278415,1,"0
"
2022-07-20 23:21:28.192107,0,"1
"
2022-07-20 23:23:08.950478,1,"0
"
2022-07-20 23:24:18.753444,1,"0
"
2022-07-20 23:25:59.559608,0,"1
"
2022-07-20 23:27:09.455216,1,"0
"
2022-07-20 23:28:30.285713,1,"0
"
2022-07-20 23:31:05.532644,1,"0
"
2022-07-20 23:32:57.051927,0,"1
"
2022-07-20 23:34:07.079204,1,"0
"
2022-07-20 23:35:27.522377,1,"0
"
2022-07-20 23:37:08.300381,0,"1
"
2022-07-20 23:38:49.579079,1,"0
"
2022-07-20 23:39:59.442521,1,"0
"
2022-07-20 23:45:01.920884,1,"0
"
2022-07-21 11:54:39.290164,1,"0
"
2022-07-21 11:58:40.214986,1,"0
"
2022-07-21 12:01:22.546139,1,"0
"
2022-07-21 12:03:47.697901,1,"0
"
2022-07-21 12:06:43.924942,1,"0
"
2022-07-21 12:08:15.600774,1,"0
"
2022-07-21 12:09:47.226774,1,"0
"
2022-07-21 12:10:57.244915,1,"0
"
2022-07-21 12:12:38.519336,0,"1
"
2022-07-21 12:14:10.314885,1,"0
"
2022-07-21 12:16:44.885965,1,"0
"
2022-07-21 12:17:55.299497,1,"0
"
2022-07-21 12:19:47.757914,1,"0
"
2022-07-21 12:22:48.322292,1,"0
"
2022-07-21 12:27:15.455665,1,"0
"
2022-07-21 12:28:26.726511,1,"0
"
2022-07-21 12:31:48.218262,1,"0
"
2022-07-21 12:33:31.049564,0,"1
"
2022-07-21 12:37:14.550129,1,"0
"
2022-07-21 12:39:17.546685,1,"0
"
2022-07-21 12:40:58.591066,0,"1
"
